user_id	event	event_date	event_ts	session_id	revenue
1	signup	22-03-2024	22-03-2024 00:00	1_0	0
1	activation	22-03-2024	22-03-2024 16:15	1_1	0
1	feature_use	22-03-2024	22-03-2024 16:17	1_1	0
1	upgrade	22-03-2024	22-03-2024 16:19	1_1	15.04
1	paying	22-03-2024	22-03-2024 16:21	1_1	49.99
1	activation	24-03-2024	24-03-2024 05:55	1_2	0
1	feature_use	24-03-2024	24-03-2024 05:57	1_2	0
1	upgrade	24-03-2024	24-03-2024 05:59	1_2	5.81
1	paying	24-03-2024	24-03-2024 06:01	1_2	99.99
1	activation	25-03-2024	25-03-2024 10:50	1_3	0
1	feature_use	25-03-2024	25-03-2024 10:52	1_3	0
1	upgrade	25-03-2024	25-03-2024 10:54	1_3	9.45
1	paying	25-03-2024	25-03-2024 10:56	1_3	19.99
1	activation	26-03-2024	26-03-2024 11:28	1_4	0
1	feature_use	26-03-2024	26-03-2024 11:30	1_4	0
1	upgrade	26-03-2024	26-03-2024 11:32	1_4	12.22
1	paying	26-03-2024	26-03-2024 11:34	1_4	19.99
1	activation	28-03-2024	28-03-2024 22:29	1_5	0
1	feature_use	28-03-2024	28-03-2024 22:31	1_5	0
1	upgrade	28-03-2024	28-03-2024 22:33	1_5	10.32
1	paying	28-03-2024	28-03-2024 22:35	1_5	99.99
2	signup	14-01-2024	14-01-2024 00:00	2_0	0
3	signup	05-01-2024	05-01-2024 00:00	3_0	0
3	activation	23-01-2024	23-01-2024 10:09	3_1	0
3	feature_use	23-01-2024	23-01-2024 10:11	3_1	0
3	upgrade	23-01-2024	23-01-2024 10:13	3_1	16.88
3	activation	24-01-2024	24-01-2024 21:28	3_2	0
3	feature_use	24-01-2024	24-01-2024 21:30	3_2	0
3	upgrade	24-01-2024	24-01-2024 21:32	3_2	8.94
3	activation	03-03-2024	03-03-2024 23:02	3_3	0
3	feature_use	03-03-2024	03-03-2024 23:04	3_3	0
3	upgrade	03-03-2024	03-03-2024 23:06	3_3	19.82
3	activation	08-03-2024	08-03-2024 04:42	3_4	0
3	feature_use	08-03-2024	08-03-2024 04:44	3_4	0
3	upgrade	08-03-2024	08-03-2024 04:46	3_4	11.74
4	signup	12-03-2024	12-03-2024 00:00	4_0	0
5	signup	27-02-2024	27-02-2024 00:00	5_0	0
5	activation	27-02-2024	27-02-2024 11:54	5_1	0
5	feature_use	27-02-2024	27-02-2024 11:56	5_1	0
5	upgrade	27-02-2024	27-02-2024 11:58	5_1	10.46
5	activation	10-03-2024	10-03-2024 09:59	5_2	0
5	feature_use	10-03-2024	10-03-2024 10:01	5_2	0
5	upgrade	10-03-2024	10-03-2024 10:03	5_2	9.6
6	signup	30-03-2024	30-03-2024 00:00	6_0	0
7	signup	14-01-2024	14-01-2024 00:00	7_0	0
7	activation	06-03-2024	06-03-2024 13:24	7_1	0
7	activation	12-03-2024	12-03-2024 11:55	7_2	0
8	signup	06-01-2024	06-01-2024 00:00	8_0	0
8	activation	20-01-2024	20-01-2024 13:25	8_1	0
8	feature_use	20-01-2024	20-01-2024 13:27	8_1	0
8	activation	28-01-2024	28-01-2024 05:37	8_2	0
8	feature_use	28-01-2024	28-01-2024 05:39	8_2	0
8	activation	17-02-2024	17-02-2024 19:12	8_3	0
8	feature_use	17-02-2024	17-02-2024 19:14	8_3	0
8	activation	04-03-2024	04-03-2024 17:29	8_4	0
8	feature_use	04-03-2024	04-03-2024 17:31	8_4	0
8	activation	12-03-2024	12-03-2024 12:20	8_5	0
8	feature_use	12-03-2024	12-03-2024 12:22	8_5	0
9	signup	11-01-2024	11-01-2024 00:00	9_0	0
10	signup	14-03-2024	14-03-2024 00:00	10_0	0
10	activation	15-03-2024	15-03-2024 17:08	10_1	0
10	activation	21-03-2024	21-03-2024 20:30	10_2	0
10	activation	23-03-2024	23-03-2024 16:39	10_3	0
10	activation	25-03-2024	25-03-2024 01:44	10_4	0
10	activation	27-03-2024	27-03-2024 09:56	10_5	0
11	signup	11-01-2024	11-01-2024 00:00	11_0	0
11	activation	25-01-2024	25-01-2024 03:24	11_1	0
11	feature_use	25-01-2024	25-01-2024 03:26	11_1	0
11	activation	05-02-2024	05-02-2024 14:28	11_2	0
11	feature_use	05-02-2024	05-02-2024 14:30	11_2	0
11	activation	08-02-2024	08-02-2024 20:47	11_3	0
11	feature_use	08-02-2024	08-02-2024 20:49	11_3	0
11	activation	28-02-2024	28-02-2024 23:27	11_4	0
11	feature_use	28-02-2024	28-02-2024 23:29	11_4	0
11	activation	09-03-2024	09-03-2024 00:25	11_5	0
11	feature_use	09-03-2024	09-03-2024 00:27	11_5	0
11	activation	11-03-2024	11-03-2024 07:34	11_6	0
11	feature_use	11-03-2024	11-03-2024 07:36	11_6	0
11	activation	21-03-2024	21-03-2024 09:19	11_7	0
11	feature_use	21-03-2024	21-03-2024 09:21	11_7	0
12	signup	22-03-2024	22-03-2024 00:00	12_0	0
13	signup	30-03-2024	30-03-2024 00:00	13_0	0
14	signup	09-03-2024	09-03-2024 00:00	14_0	0
14	activation	09-03-2024	09-03-2024 00:11	14_1	0
14	feature_use	09-03-2024	09-03-2024 00:13	14_1	0
14	upgrade	09-03-2024	09-03-2024 00:15	14_1	16.86
14	paying	09-03-2024	09-03-2024 00:17	14_1	49.99
14	activation	10-03-2024	10-03-2024 10:12	14_2	0
14	feature_use	10-03-2024	10-03-2024 10:14	14_2	0
14	upgrade	10-03-2024	10-03-2024 10:16	14_2	19.39
14	paying	10-03-2024	10-03-2024 10:18	14_2	99.99
14	activation	22-03-2024	22-03-2024 07:37	14_3	0
14	feature_use	22-03-2024	22-03-2024 07:39	14_3	0
14	upgrade	22-03-2024	22-03-2024 07:41	14_3	19.6
14	paying	22-03-2024	22-03-2024 07:43	14_3	19.99
15	signup	29-01-2024	29-01-2024 00:00	15_0	0
15	activation	01-02-2024	01-02-2024 18:29	15_1	0
15	activation	23-02-2024	23-02-2024 04:42	15_2	0
15	activation	22-03-2024	22-03-2024 12:48	15_3	0
16	signup	05-01-2024	05-01-2024 00:00	16_0	0
16	activation	14-02-2024	14-02-2024 16:12	16_1	0
16	feature_use	14-02-2024	14-02-2024 16:14	16_1	0
16	upgrade	14-02-2024	14-02-2024 16:16	16_1	11.56
16	paying	14-02-2024	14-02-2024 16:18	16_1	9.99
17	signup	10-02-2024	10-02-2024 00:00	17_0	0
17	activation	17-02-2024	17-02-2024 12:55	17_1	0
17	activation	18-02-2024	18-02-2024 21:00	17_2	0
17	activation	13-03-2024	13-03-2024 08:55	17_3	0
17	activation	17-03-2024	17-03-2024 17:12	17_4	0
17	activation	21-03-2024	21-03-2024 10:15	17_5	0
18	signup	19-01-2024	19-01-2024 00:00	18_0	0
18	activation	20-01-2024	20-01-2024 00:41	18_1	0
18	feature_use	20-01-2024	20-01-2024 00:43	18_1	0
18	upgrade	20-01-2024	20-01-2024 00:45	18_1	15.61
18	paying	20-01-2024	20-01-2024 00:47	18_1	9.99
18	activation	22-01-2024	22-01-2024 18:26	18_2	0
18	feature_use	22-01-2024	22-01-2024 18:28	18_2	0
18	upgrade	22-01-2024	22-01-2024 18:30	18_2	5.38
18	paying	22-01-2024	22-01-2024 18:32	18_2	19.99
18	activation	07-02-2024	07-02-2024 14:42	18_3	0
18	feature_use	07-02-2024	07-02-2024 14:44	18_3	0
18	upgrade	07-02-2024	07-02-2024 14:46	18_3	14.47
18	paying	07-02-2024	07-02-2024 14:48	18_3	49.99
18	activation	14-03-2024	14-03-2024 05:17	18_4	0
18	feature_use	14-03-2024	14-03-2024 05:19	18_4	0
18	upgrade	14-03-2024	14-03-2024 05:21	18_4	14.79
18	paying	14-03-2024	14-03-2024 05:23	18_4	19.99
